real,RF,word2,season,No
0,0,2016_Aug_22_18,5,108
0,0,2016_Sep_10_0,5,322
0,0,2016_Sep_8_0,5,296
0,0,2016_Aug_25_6,5,157
0,0,2016_Sep_7_9,5,295
0,0,2016_Sep_7_1,5,287
0,0,2016_Sep_19_18,5,373
0,0,2016_Aug_29_14,5,185
0,0,2016_Sep_3_4,5,253
0,0,2016_Aug_17_7,5,73
0,0,2016_Sep_1_0,5,227
0,0,2016_Sep_20_6,5,401
0,0,2016_Aug_17_5,5,71
0,0,2016_Aug_18_4,5,80
0,0,2016_Aug_28_4,5,179
0,0,2016_Sep_8_2,5,308
0,0,2016_Aug_12_3,5,6
0,1,2016_Aug_22_23,5,114
0,0,2016_Oct_22_0,6,293
0,0,2016_Nov_2_8,6,17
0,0,2016_Nov_14_6,6,105
0,0,2016_Oct_25_1,6,314
0,0,2016_Nov_9_0,6,71
0,1,2016_Oct_13_6,6,205
0,0,2016_Oct_7_3,6,149
0,0,2016_Nov_6_0,6,41
0,0,2016_Nov_14_10,6,94
0,0,2016_Oct_13_0,6,196
0,1,2016_Oct_8_4,6,160
0,0,2016_Nov_16_0,6,121
0,0,2016_Oct_21_14,6,283
0,0,2016_Oct_16_1,6,248
0,0,2016_Nov_3_11,6,20
0,0,2016_Nov_3_2,6,23
0,0,2016_Oct_22_1,6,294
0,0,2016_Nov_15_6,6,117
0,0,2016_Nov_2_1,6,10
0,0,2016_Nov_4_1,6,32
0,0,2016_Nov_9_8,6,79
0,0,2016_Oct_11_16,6,173
0,0,2016_Oct_24_10,6,301
0,1,2016_Oct_11_11,6,168
0,0,2016_Oct_18_11,6,251
0,0,2016_Oct_31_10,6,348
0,0,2016_Oct_27_6,6,333
0,0,2016_Oct_31_11,6,349
0,0,2016_Nov_10_1,6,82
0,0,2016_Oct_18_5,6,261
0,0,2016_Oct_13_2,6,201
0,0,2016_Oct_15_1,6,238
0,1,2016_Oct_13_3,6,202
0,0,2016_Nov_7_1,6,52
0,0,2016_Oct_13_12,6,199
0,0,2016_Oct_21_0,6,278
0,0,2016_Nov_3_10,6,19
0,0,2016_Oct_15_9,6,246
0,0,2016_Nov_15_2,6,113
0,0,2016_Oct_24_5,6,308
0,0,2016_Nov_1_5,6,5
0,0,2016_Oct_11_21,6,179
0,0,2016_Nov_16_14,6,126
0,0,2016_Nov_16_5,6,131
0,0,2016_Nov_5_1,6,37
0,0,2016_Nov_16_11,6,123
0,0,2016_Oct_10_0,6,163
0,0,2016_Oct_18_4,6,260
0,0,2016_Oct_7_5,6,151
1,1,2016_Nov_8_2,6,63
0,1,2016_Nov_16_2,6,128
0,0,2016_Oct_12_4,6,193
0,0,2016_Nov_5_3,6,39
0,0,2016_Oct_24_12,6,303
0,0,2016_Oct_11_13,6,170
0,1,2016_Oct_28_2,6,338
0,0,2016_Oct_19_2,6,268
1,1,2016_Oct_24_8,6,311
0,0,2016_Oct_14_7,6,231
0,0,2016_Oct_24_7,6,310
0,0,2016_Nov_15_5,6,116
0,0,2016_Oct_19_3,6,269
0,0,2016_Oct_18_3,6,259
0,0,2016_Oct_18_0,6,249
0,0,2016_Nov_8_9,6,70
0,0,2016_Dec_17_1,7,104
0,0,2016_Dec_3_3,7,3
0,0,2016_Dec_7_7,7,36
0,0,2017_Jan_11_4,7,192
0,0,2016_Dec_18_2,7,107
0,1,2016_Dec_13_0,7,63
0,0,2016_Dec_6_9,7,24
0,0,2016_Dec_5_1,7,10
0,1,2017_Jan_9_7,7,177
0,0,2017_Jan_9_5,7,176
0,0,2016_Dec_10_3,7,49
0,0,2016_Dec_21_3,7,124
0,0,2016_Dec_7_3,7,33
0,0,2016_Dec_24_0,7,130
0,1,2017_Jan_11_2,7,190
0,0,2017_Jan_10_7,7,186
0,0,2017_Jan_12_2,7,197
0,0,2016_Dec_21_1,7,122
0,0,2016_Dec_19_1,7,114
0,0,2016_Dec_12_4,7,59
0,0,2016_Dec_10_1,7,47
0,0,2017_Jan_4_10,7,151
0,0,2016_Dec_7_0,7,25
0,0,2016_Dec_21_7,7,128
0,0,2016_Dec_15_9,7,97
0,0,2016_Dec_27_3,7,138
0,0,2016_Dec_18_1,7,106
0,0,2016_Dec_25_1,7,132
0,0,2017_Jan_5_0,7,164
0,0,2016_Dec_13_10,7,64
0,0,2016_Dec_6_3,7,21
0,0,2016_Dec_18_6,7,111
0,0,2016_Dec_14_9,7,85
0,0,2017_Mar_7_4,8,255
0,0,2017_Feb_6_10,8,36
0,0,2017_Feb_23_3,8,153
0,0,2017_Feb_6_18,8,44
0,0,2017_Feb_9_9,8,84
0,0,2017_Jan_27_3,8,179
0,0,2017_Mar_4_0,8,218
0,0,2017_Feb_25_0,8,162
0,0,2017_Feb_10_6,8,91
0,0,2017_Feb_23_4,8,154
0,0,2017_Feb_24_0,8,155
0,1,2017_Mar_7_2,8,253
0,0,2017_Feb_9_16,8,74
0,0,2017_Feb_13_4,8,102
0,0,2017_Feb_28_4,8,175
0,0,2017_Mar_2_1,8,210
0,0,2017_Feb_7_3,8,58
0,0,2017_Feb_7_5,8,60
1,1,2017_Feb_3_11,8,14
0,0,2017_Jan_31_6,8,197
0,0,2017_Feb_4_2,8,29
0,0,2017_Mar_7_12,8,248
0,0,2017_Jan_31_3,8,194
0,0,2017_Mar_6_13,8,232
1,1,2017_Feb_2_3,8,5
0,0,2017_Feb_3_10,8,13
0,0,2017_Mar_7_3,8,254
0,0,2017_Mar_9_5,8,280
0,0,2017_Feb_7_1,8,56
0,0,2017_Mar_9_2,8,277
0,0,2017_Jan_30_0,8,186
0,0,2017_Mar_7_13,8,249
0,0,2017_Feb_22_8,8,149
0,0,2017_Feb_20_0,8,132
0,0,2017_Feb_28_1,8,172
0,0,2017_Feb_23_2,8,152
0,0,2017_Feb_3_3,8,20
0,0,2017_Mar_8_13,8,265
0,0,2017_Feb_2_7,8,9
0,0,2017_Feb_1_0,8,0
0,0,2017_Feb_10_0,8,85
0,0,2017_Feb_10_2,8,87
0,0,2017_Jan_31_7,8,198
0,0,2017_Feb_13_1,8,99
0,0,2017_Feb_3_12,8,15
0,0,2017_Feb_7_6,8,61
0,0,2017_Feb_9_10,8,68
0,0,2017_Apr_7_18,9,45
0,0,2017_Apr_20_2,9,150
0,0,2017_Apr_25_13,9,182
0,0,2017_Mar_28_13,9,248
0,0,2017_May_2_12,9,306
0,0,2017_May_1_11,9,289
0,0,2017_Apr_25_3,9,186
0,0,2017_May_3_5,9,322
0,0,2017_Apr_14_6,9,114
0,0,2017_Apr_10_13,9,70
0,0,2017_Apr_10_2,9,73
0,0,2017_Apr_10_3,9,74
0,0,2017_Apr_3_8,9,10
0,0,2017_Apr_14_7,9,115
0,0,2017_Apr_28_0,9,205
0,0,2017_Apr_7_6,9,58
0,0,2017_Mar_27_24,9,234
0,0,2017_Apr_8_1,9,63
0,0,2017_Apr_3_1,9,3
0,0,2017_May_4_0,9,323
0,0,2017_May_2_11,9,305
0,0,2017_Apr_18_6,9,138
0,0,2017_Apr_4_8,9,20
0,1,2017_Mar_28_7,9,262
0,0,2017_Apr_30_2,9,211
0,0,2017_Mar_27_6,9,240
0,0,2017_Apr_7_12,9,39
0,0,2017_Apr_14_5,9,113
0,2,2017_Apr_18_8,9,140
0,0,2017_Apr_10_1,9,72
0,0,2017_Apr_12_1,9,96
0,0,2017_Apr_19_1,9,143
0,0,2017_Apr_7_16,9,43
0,0,2017_Apr_5_4,9,26
0,0,2017_Apr_6_3,9,34
0,0,2017_Mar_31_4,9,281
0,0,2017_Mar_28_5,9,260
0,0,2017_Mar_27_22,9,232
1,0,2017_Apr_10_11,9,68
1,0,2017_Apr_10_6,9,77
1,0,2017_Apr_3_5,9,7
1,1,2017_Mar_27_2,9,236
1,0,2017_Apr_26_1,9,193
1,0,2017_Mar_27_25,9,235
1,0,2017_May_1_16,9,293
1,0,2017_Apr_23_1,9,161
1,0,2017_Apr_15_1,9,119
1,0,2017_May_4_5,9,337
1,0,2017_Apr_13_0,9,99
0,0,2017_Apr_19_0,9,142
1,1,2017_Apr_20_6,9,154
1,0,2017_Apr_13_6,9,105
